dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,ct1,ct2,ct3,ct4,ct5,ct6,ct7,ct8,ct9,ct10,ct11,ct12,ct13,ct14,ct15,ct16,ct17,ct18,ct19,ct20,ct21,ct22,ct23,ct24,ct25,ct26,ct27,ct28,ct29,ct30,ct31,ct32,ct33,ct34,ct35,ct36,ct37,ct38,ct39,ct40,sexo,idade,cor_raca,estado_civil,renda_mensal_familiar,dependentes_da_renda,escolaridade,renda_pos_covid,nivel_de_ensino_rcd,educacao_infantil,fundamental_i,fundamental_ii,educacao_de_jovens_e_adultos_eja,atendimento_educacional_especializado_aee,academia,bares_restaurantes,shopping,mascara,higiene_das_maos,grupo_de_risco_dic,diagnostico_de_covid,perdeu_amigo_familiar_covid,atividades_sincronas,alunos_participam_sincronas,atividades_assincronas,alunos_participam_assincronas
1,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,0,1,0,1,3,1,4,1,1,4,5,2,2,2,4,3,2,1,1,3,2,4,3,2,2,4,3,2,4,1,4,1,3,1,1,1,2,1,1,2,3,1,2,Feminino,31,Pardo,Solteiro(a),5500,6,Mestrado,Ficou estável,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Não,6,5,6,4
1,0,0,2,1,2,0,1,1,0,1,2,1,0,1,0,0,2,1,0,0,2,3,1,2,3,1,3,3,2,2,4,5,3,5,3,1,2,2,3,2,3,2,4,3,3,3,3,5,2,2,1,1,1,2,3,1,4,3,2,2,Feminino,41,Pardo,Casado(a),2000,4,Curso superior completo,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Não,4,3,3,3
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,1,3,1,1,5,5,1,3,3,5,4,5,3,3,2,1,3,3,3,4,5,3,3,3,2,5,3,5,1,1,2,4,2,5,5,4,3,3,Masculino,31,Branco,Solteiro(a),3000,3,Especialização,Aumentou,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Sim,6,4,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1,3,1,2,3,3,1,2,2,5,4,4,2,1,3,1,4,3,3,3,3,3,2,3,2,4,1,3,1,1,2,2,1,3,3,4,3,2,Feminino,30,Pardo,Solteiro(a),3260,2,Especialização,Ficou estável,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Não,6,6,6,6
1,1,1,0,2,3,1,2,1,1,3,2,1,2,0,0,1,1,1,1,0,4,5,4,4,3,3,4,3,4,3,3,4,4,4,3,3,3,2,4,3,4,3,5,2,2,3,2,4,1,2,1,2,4,3,3,4,4,3,3,2,Feminino,31,Pardo,Casado(a),1700,4,Especialização,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Não,4,2,6,4
2,1,2,2,2,2,2,3,3,2,3,3,2,2,3,3,2,2,2,3,2,3,2,3,4,4,4,5,5,2,2,4,5,5,4,4,3,3,3,2,3,3,3,4,5,3,3,3,3,2,5,2,4,3,4,4,3,4,3,3,3,Masculino,36,Pardo,Solteiro(a),4200,1,Mestrado,Ficou estável,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,4,4,Sim,Não,Sim,5,5,4,4
2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,3,1,5,2,4,3,4,4,4,5,3,3,2,5,3,3,2,3,4,3,2,3,2,3,2,4,1,1,2,2,3,4,3,2,2,3,Masculino,36,Pardo,Solteiro(a),64000,7,Especialização,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,2,0,5,3,Não,Não,Sim,4,3,5,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,3,3,3,1,1,1,1,3,4,3,1,3,5,3,3,3,3,1,3,2,3,3,2,2,1,3,1,1,3,3,1,3,3,3,1,1,Feminino,33,Pardo,Casado(a),3000,5,Mestrado,Diminuiu,Educação Infantil,Sim,Não,Não,Não,Não,0,0,0,5,5,Não,Sim,Sim,1,2,6,5
0,0,1,0,0,2,0,0,1,1,1,1,1,1,0,0,1,2,0,1,0,1,1,3,2,2,2,4,3,4,3,3,3,2,4,3,3,2,5,2,2,2,2,3,2,3,3,2,4,3,2,3,2,2,3,2,3,2,2,2,4,Masculino,35,Pardo,Divorciado(a),7000,4,Curso superior completo,Ficou estável,Fundamental II,Não,Não,Sim,Não,Não,0,1,3,5,5,Não,Não,Sim,5,3,5,4
0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,3,4,2,3,1,2,4,5,5,3,2,5,4,4,2,3,3,1,3,2,2,3,4,2,3,4,1,3,2,4,1,1,3,2,2,3,3,3,1,3,Feminino,30,Pardo,União estável,3000,3,Especialização,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Sim,Sim,Não,6,6,6,6
0,0,0,1,0,0,1,1,2,0,1,1,1,0,1,0,0,0,1,0,0,3,2,3,3,1,1,3,2,1,1,1,4,4,4,1,3,3,1,3,3,1,1,3,3,2,3,1,2,1,2,1,1,3,3,1,3,2,4,1,1,Feminino,40,Pardo,Casado(a),3000,3,Especialização,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Sim,4,5,4,5
1,0,3,2,3,2,3,1,1,2,2,2,2,2,1,1,0,3,1,3,2,4,3,4,3,3,2,3,3,5,4,4,5,5,5,4,3,4,5,5,5,4,4,4,4,3,3,2,5,2,4,1,1,1,3,2,3,4,4,2,4,Feminino,30,Preto,Casado(a),2800,5,Curso superior completo,Diminuiu,Fundamental I,Não,Sim,Não,Não,Não,0,0,0,5,5,Não,Sim,Não,5,5,6,6
1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,3,3,1,1,1,3,5,5,1,3,2,1,3,3,3,3,3,3,3,3,1,5,1,4,1,1,1,3,1,1,4,3,3,5,Feminino,39,Pardo,Solteiro(a),2700,1,Curso superior completo,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Não,5,3,6,4
2,2,1,2,2,2,0,1,1,1,1,1,1,1,1,1,0,2,0,2,0,2,2,2,3,1,2,3,3,1,2,2,3,3,4,3,3,2,1,2,4,4,3,3,1,3,4,2,4,1,2,4,1,3,3,3,4,3,3,2,1,Masculino,32,Preto,Solteiro(a),1500,1,Curso superior completo,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,4,Sim,Não,Não,6,5,4,3
0,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,0,1,0,1,0,3,1,3,3,2,1,3,3,4,1,2,4,4,5,1,1,3,5,3,3,3,2,3,3,3,4,1,2,1,1,1,1,3,4,1,3,3,4,1,3,Feminino,42,Preto,Casado(a),2500,4,Especialização,Ficou estável,Fundamental II,Não,Não,Sim,Não,Não,2,0,0,5,5,Não,Não,Sim,4,3,6,5
0,0,0,0,0,0,2,1,1,0,2,1,0,0,0,0,0,1,1,0,0,2,3,1,2,2,1,4,3,2,2,3,5,4,5,2,1,1,1,4,2,2,3,4,4,2,2,1,4,1,3,1,1,1,1,1,1,3,2,2,3,Masculino,25,Pardo,Casado(a),1500,2,Especialização,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,0,5,5,Não,Não,Sim,4,4,6,6
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,1,3,4,5,1,2,5,5,4,2,1,1,1,4,4,3,4,3,2,1,4,1,3,3,5,1,1,4,4,1,5,5,3,1,2,Masculino,35,Branco,Casado(a),5700,3,Curso superior completo,Diminuiu,Fundamental II,Não,Não,Sim,Não,Não,0,0,1,5,5,Não,Não,Sim,6,6,6,6
